seed,init_facility,phase_centers_factor,compress_to_factor,growth_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,points_seen,opened_centers_final_state,facility_final,avg_update_ms,num_phases,num_compressions,total_opened_events,phase_max_centers,compress_target
42,0.5,8.0,4.0,1.5,1.2755253000004814,9744.0,806810.7569330634,1.0,1.0,1.0,10000,58,8417.056098014116,0.12755253000004813,25,24,850,64,32
77,0.5,8.0,4.0,1.5,1.083925700000691,5712.0,805420.58104139,1.0,1.0,1.0,10000,34,12625.584147021174,0.1083925700000691,26,25,859,64,32
211,0.5,8.0,4.0,1.5,1.0873400000000402,9576.0,806465.7449839967,1.0,1.0,1.0,10000,57,8417.056098014116,0.10873400000000402,25,24,849,64,32
42,0.5,8.0,4.0,2.0,0.8660689999996976,7056.0,810464.3114385392,1.0,1.0,1.0,10000,42,16384.0,0.08660689999996976,16,15,537,64,32
77,0.5,8.0,4.0,2.0,0.9441125000003012,8232.0,809690.0614547695,1.0,1.0,1.0,10000,49,16384.0,0.09441125000003012,16,15,544,64,32
211,0.5,8.0,4.0,2.0,0.980174000000261,8568.0,810827.8231789267,1.0,1.0,1.0,10000,51,16384.0,0.0980174000000261,16,15,546,64,32
42,0.5,8.0,6.0,1.5,1.360400500000651,9240.0,812981.67273011,1.0,1.0,1.0,10000,55,18938.37622053176,0.13604005000006508,27,26,497,64,48
77,0.5,8.0,6.0,1.5,1.359038500000679,9408.0,811210.7837767862,1.0,1.0,1.0,10000,56,18938.37622053176,0.1359038500000679,27,26,498,64,48
211,0.5,8.0,6.0,1.5,1.4423797999997987,10080.0,811447.2168887481,1.0,1.0,1.0,10000,60,18938.37622053176,0.14423797999997987,27,26,502,64,48
42,0.5,8.0,6.0,2.0,1.120699300000524,9408.0,818863.9993762163,1.0,1.0,1.0,10000,56,32768.0,0.11206993000005241,17,16,328,64,48
77,0.5,8.0,6.0,2.0,1.1138568000005762,9072.0,818310.6818596565,1.0,1.0,1.0,10000,54,32768.0,0.11138568000005762,17,16,326,64,48
211,0.5,8.0,6.0,2.0,1.0145275000004403,9240.0,818377.4409629281,1.0,1.0,1.0,10000,55,32768.0,0.10145275000004403,17,16,327,64,48
42,0.5,12.0,4.0,1.5,1.3126468999998906,6048.0,802895.9743910793,1.0,1.0,1.0,10000,36,5611.370732009411,0.13126468999998905,24,23,1531,96,32
77,0.5,12.0,4.0,1.5,1.3469905000001745,6384.0,802430.8913379229,1.0,1.0,1.0,10000,38,5611.370732009411,0.13469905000001745,24,23,1533,96,32
211,0.5,12.0,4.0,1.5,1.3594616000000315,16128.0,802486.0764941636,1.0,1.0,1.0,10000,96,3740.9138213396072,0.13594616000000315,23,22,1526,96,32
42,0.5,12.0,4.0,2.0,1.1171790999997029,9744.0,805090.3977461366,1.0,1.0,1.0,10000,58,8192.0,0.11171790999997029,15,14,968,96,32
77,0.5,12.0,4.0,2.0,1.0953948000005767,11592.0,805375.9744178068,1.0,1.0,1.0,10000,69,8192.0,0.10953948000005767,15,14,979,96,32
211,0.5,12.0,4.0,2.0,1.1593322999997326,9744.0,804371.7724322887,1.0,1.0,1.0,10000,58,8192.0,0.11593322999997327,15,14,968,96,32
42,0.5,12.0,6.0,1.5,1.4401442999997016,13608.0,802884.8430177366,1.0,1.0,1.0,10000,81,5611.370732009411,0.14401442999997016,24,23,1208,96,48
77,0.5,12.0,6.0,1.5,1.551599499999611,14616.0,804021.7883376849,1.0,1.0,1.0,10000,87,5611.370732009411,0.1551599499999611,24,23,1214,96,48
211,0.5,12.0,6.0,1.5,1.4144795000001977,13776.0,803050.1711921252,1.0,1.0,1.0,10000,82,5611.370732009411,0.14144795000001978,24,23,1209,96,48
42,0.5,12.0,6.0,2.0,1.1486464999998134,14616.0,806870.8060251073,1.0,1.0,1.0,10000,87,8192.0,0.11486464999998133,15,14,773,96,48
77,0.5,12.0,6.0,2.0,1.136392800000067,8568.0,806736.3430946606,1.0,1.0,1.0,10000,51,16384.0,0.1136392800000067,16,15,786,96,48
211,0.5,12.0,6.0,2.0,1.1879872999998042,8232.0,806232.051673301,1.0,1.0,1.0,10000,49,16384.0,0.11879872999998042,16,15,784,96,48
42,1.0,8.0,4.0,1.5,1.075334400000429,5880.0,806430.1093093453,1.0,1.0,1.0,10000,35,11222.741464018822,0.1075334400000429,24,23,794,64,32
77,1.0,8.0,4.0,1.5,1.037702800000261,7224.0,806675.6271805973,1.0,1.0,1.0,10000,43,11222.741464018822,0.10377028000002611,24,23,802,64,32
211,1.0,8.0,4.0,1.5,1.2237027999999555,6048.0,806564.4961489134,1.0,1.0,1.0,10000,36,11222.741464018822,0.12237027999999554,24,23,795,64,32
42,1.0,8.0,4.0,2.0,0.9175248000001375,8232.0,811634.6309098268,1.0,1.0,1.0,10000,49,16384.0,0.09175248000001375,15,14,511,64,32
77,1.0,8.0,4.0,2.0,0.9856044999996811,8904.0,811828.8192196933,1.0,1.0,1.0,10000,53,16384.0,0.09856044999996812,15,14,515,64,32
211,1.0,8.0,4.0,2.0,0.905274400000053,8064.0,810539.3074431459,1.0,1.0,1.0,10000,48,16384.0,0.0905274400000053,15,14,510,64,32
42,1.0,8.0,6.0,1.5,1.4089764000000287,10248.0,811154.6277670459,1.0,1.0,1.0,10000,61,16834.112196028233,0.14089764000000288,25,24,469,64,48
77,1.0,8.0,6.0,1.5,1.364145099999405,10752.0,811640.9726834296,1.0,1.0,1.0,10000,64,16834.112196028233,0.13641450999994048,25,24,472,64,48
211,1.0,8.0,6.0,1.5,1.503639400000793,8736.0,813045.8987631251,1.0,1.0,1.0,10000,52,25251.16829404235,0.1503639400000793,26,25,477,64,48
42,1.0,8.0,6.0,2.0,1.1777619999993476,8736.0,820777.8117084769,1.0,1.0,1.0,10000,52,32768.0,0.11777619999993476,16,15,307,64,48
77,1.0,8.0,6.0,2.0,1.1243138999998337,9072.0,822981.6878129785,1.0,1.0,1.0,10000,54,32768.0,0.11243138999998337,16,15,309,64,48
211,1.0,8.0,6.0,2.0,1.0923858000005566,10248.0,822849.454520504,1.0,1.0,1.0,10000,61,32768.0,0.10923858000005567,16,15,316,64,48
42,1.0,12.0,4.0,1.5,1.176015300000472,8400.0,803326.2305444496,1.0,1.0,1.0,10000,50,4987.885095119476,0.11760153000004721,22,21,1415,96,32
77,1.0,12.0,4.0,1.5,1.1578987000002599,9072.0,802729.7803446935,1.0,1.0,1.0,10000,54,4987.885095119476,0.11578987000002598,22,21,1419,96,32
211,1.0,12.0,4.0,1.5,1.2052377999998498,8904.0,802937.655160332,1.0,1.0,1.0,10000,53,4987.885095119476,0.12052377999998498,22,21,1418,96,32
42,1.0,12.0,4.0,2.0,0.9284969999998793,10080.0,805608.1499681543,1.0,1.0,1.0,10000,60,8192.0,0.09284969999998793,14,13,905,96,32
77,1.0,12.0,4.0,2.0,0.9621378000001641,10584.0,806210.678428071,1.0,1.0,1.0,10000,63,8192.0,0.09621378000001642,14,13,908,96,32
211,1.0,12.0,4.0,2.0,0.9581757999994807,10584.0,805472.095223946,1.0,1.0,1.0,10000,63,8192.0,0.09581757999994807,14,13,908,96,32
42,1.0,12.0,6.0,1.5,1.4024576000001616,8736.0,803653.532927697,1.0,1.0,1.0,10000,52,7481.8276426792145,0.14024576000001615,23,22,1130,96,48
77,1.0,12.0,6.0,1.5,1.399447699999655,9576.0,804271.9439488756,1.0,1.0,1.0,10000,57,7481.8276426792145,0.1399447699999655,23,22,1135,96,48
211,1.0,12.0,6.0,1.5,1.4518631999999343,8064.0,803051.3117331614,1.0,1.0,1.0,10000,48,7481.8276426792145,0.14518631999999343,23,22,1126,96,48
42,1.0,12.0,6.0,2.0,1.1850809999996272,15288.0,806643.243888411,1.0,1.0,1.0,10000,91,8192.0,0.11850809999996273,14,13,728,96,48
77,1.0,12.0,6.0,2.0,1.1120321999997032,15792.0,807275.9976739862,1.0,1.0,1.0,10000,94,8192.0,0.11120321999997032,14,13,731,96,48
211,1.0,12.0,6.0,2.0,1.1053987999994206,8064.0,807508.5421542613,1.0,1.0,1.0,10000,48,16384.0,0.11053987999994205,15,14,734,96,48
42,2.0,8.0,4.0,1.5,1.0125463999993372,8232.0,806464.3026313963,1.0,1.0,1.0,10000,49,9975.770190238953,0.10125463999993371,22,21,742,64,32
77,2.0,8.0,4.0,1.5,0.9923588000001473,8400.0,807467.0833151806,1.0,1.0,1.0,10000,50,9975.770190238953,0.09923588000001474,22,21,743,64,32
211,2.0,8.0,4.0,1.5,1.1196582000002309,8232.0,806825.3763774034,1.0,1.0,1.0,10000,49,9975.770190238953,0.11196582000002309,22,21,742,64,32
42,2.0,8.0,4.0,2.0,0.8018500999996832,8400.0,813126.3501449353,1.0,1.0,1.0,10000,50,16384.0,0.08018500999996832,14,13,479,64,32
77,2.0,8.0,4.0,2.0,0.8584600000003775,8400.0,812564.3280359097,1.0,1.0,1.0,10000,50,16384.0,0.08584600000003775,14,13,479,64,32
211,2.0,8.0,4.0,2.0,0.8397445000000516,8064.0,811939.2829524184,1.0,1.0,1.0,10000,48,16384.0,0.08397445000000517,14,13,477,64,32
42,2.0,8.0,6.0,1.5,1.2341894999999568,8064.0,814628.8658343853,1.0,1.0,1.0,10000,48,22445.482928037643,0.12341894999999567,24,23,439,64,48
77,2.0,8.0,6.0,1.5,1.22826939999959,8400.0,812710.7908207497,1.0,1.0,1.0,10000,50,22445.482928037643,0.122826939999959,24,23,441,64,48
211,2.0,8.0,6.0,1.5,1.2495439000003898,9072.0,812206.7643283799,1.0,1.0,1.0,10000,54,22445.482928037643,0.12495439000003898,24,23,445,64,48
42,2.0,8.0,6.0,2.0,0.9879222999998092,8904.0,822364.5475143759,1.0,1.0,1.0,10000,53,32768.0,0.09879222999998091,15,14,291,64,48
77,2.0,8.0,6.0,2.0,0.9630597000004855,9240.0,827804.7291865232,1.0,1.0,1.0,10000,55,32768.0,0.09630597000004855,15,14,293,64,48
211,2.0,8.0,6.0,2.0,1.0151623000001564,9912.0,825670.0489638603,1.0,1.0,1.0,10000,59,32768.0,0.10151623000001564,15,14,297,64,48
42,2.0,12.0,4.0,1.5,1.1426793000000544,11760.0,803261.3034956997,1.0,1.0,1.0,10000,70,4433.675640106201,0.11426793000000543,20,19,1305,96,32
77,2.0,12.0,4.0,1.5,1.1608473999995113,12768.0,802651.7933956916,1.0,1.0,1.0,10000,76,4433.675640106201,0.11608473999995113,20,19,1311,96,32
211,2.0,12.0,4.0,1.5,1.0760984999997163,11424.0,803137.5788990257,1.0,1.0,1.0,10000,68,4433.675640106201,0.10760984999997163,20,19,1303,96,32
42,2.0,12.0,4.0,2.0,0.9199203000007401,10416.0,805255.8697996881,1.0,1.0,1.0,10000,62,8192.0,0.09199203000007401,13,12,842,96,32
77,2.0,12.0,4.0,2.0,0.99365090000083,10416.0,805248.0586504778,1.0,1.0,1.0,10000,62,8192.0,0.099365090000083,13,12,842,96,32
211,2.0,12.0,4.0,2.0,0.9921585000001869,10752.0,805297.1826665645,1.0,1.0,1.0,10000,64,8192.0,0.09921585000001869,13,12,844,96,32
42,2.0,12.0,6.0,1.5,1.5352331000003687,11088.0,804760.0546203713,1.0,1.0,1.0,10000,66,6650.513460159302,0.15352331000003688,21,20,1046,96,48
77,2.0,12.0,6.0,1.5,1.4522545999998329,10752.0,803977.4960209144,1.0,1.0,1.0,10000,64,6650.513460159302,0.1452254599999833,21,20,1044,96,48
211,2.0,12.0,6.0,1.5,1.4121351000003415,10584.0,803893.3585776531,1.0,1.0,1.0,10000,63,6650.513460159302,0.14121351000003415,21,20,1043,96,48
42,2.0,12.0,6.0,2.0,1.2168592000007266,16128.0,806926.3085649937,1.0,1.0,1.0,10000,96,8192.0,0.12168592000007265,13,12,684,96,48
77,2.0,12.0,6.0,2.0,1.5730854000003092,16128.0,807565.2965365076,1.0,1.0,1.0,10000,96,8192.0,0.15730854000003092,13,12,684,96,48
211,2.0,12.0,6.0,2.0,1.3467316999995091,8064.0,807543.5765244673,1.0,1.0,1.0,10000,48,16384.0,0.1346731699999509,14,13,685,96,48
